nodes, smt, mpi, omp, perf., domain LI, PME LI
 , , , , (ns/day), (%), (%)
1, 1, 128, 1, 12.081, 29.1, 15.2
1, 1, 64, 2, 12.036, 24.7, 13.4
1, 1, 32, 4, 12.984, 24.5, 9.6
1, 1, 16, 8, 12.857, 8.7, 
1, 1, 8, 16, 11.854, 7.0, 
1, 1, 4, 32, 7.818, 5.8, 
1, 1, 2, 64, 3.626, 2.0, 
1, 2, 256, 1, 12.719, 28.6, 13.7
1, 2, 128, 2, 11.908, 25.7, 12.2
1, 2, 64, 4, 12.191, 24.8, 7.9
1, 2, 32, 8, 12.091, 24.8, 4.8
1, 2, 16, 16, 11.544, 5.8, 
1, 2, 8, 32, 7.337, 6.1, 
1, 2, 4, 64, 3.695, 1.5, 
2, 1, 128, 1, 22.980, 28.9, 14.2
2, 1, 64, 2, 23.313, 28.8, 12.4
2, 1, 32, 4, 23.590, 23.5, 9.9
2, 1, 16, 8, 22.197, 22.8, 5.0
2, 1, 8, 16, 21.129, 6.3, 
2, 1, 4, 32, 14.917, 4.3, 
2, 1, 2, 64, 7.659, 4.6, 
2, 2, 256, 1, 23.329, 28.9, 11.9
2, 2, 128, 2, 21.811, 24.6, 11.8
2, 2, 64, 4, 22.210, 22.3, 9.0
2, 2, 32, 8, 21.995, 21.5, 4.1
2, 2, 16, 16, 17.939, 24.6, 3.2
2, 2, 8, 32, 13.508, 4.7, 
2, 2, 4, 64, 6.484, 5.2, 
4, 1, 128, 1, 42.935, 30.2, 11.1
4, 1, 64, 2, 45.412, 26.8, 10.2
4, 1, 32, 4, 45.576, 25.2, 7.1
4, 1, 16, 8, 38.580, 20.6, 3.9
4, 1, 8, 16, 33.911, 19.9, 0.8
4, 1, 4, 32, 22.642, 4.4, 
4, 1, 2, 64, 11.593, 3.4, 
4, 2, 256, 1, 40.796, 31.7, 8.1
4, 2, 128, 2, 42.995, 23.0, 7.5
4, 2, 64, 4, 45.777, 20.2, 3.5
4, 2, 32, 8, 35.499, 19.9, 7.2
4, 2, 16, 16, 28.994, 19.7, 5.3
4, 2, 8, 32, 17.495, 18.9, 11.8
4, 2, 4, 64, 10.703, 5.0, 
